object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
IC4665,OCL85,OPNCL,OPH,17,46.3,5,43,4.2,99.9,203,15,41m,,,III 2 p,30,6.9,,vvL sparse group;about 20 * mags 7....,Incl Struve 2212 8.5+9 ;3.1''sep;340 deg PA
PK7+4.1,ESO589-4,PLNNB,OPH,17,46.3,-20,13,17.3,99.9,338,22,10s,,,,,18.2,,,
PK24-2.1,M2-46,PLNNB,OPH,17,46.5,-8,28,18.3,99.9,293,15,5.7s,3.3s,,3,,,,,
Cr350,,OPNCL,OPH,17,48.1,1,18,6.1,99.9,248,15,45m,,,IV 2 p,20,,,13''-B; L; scattered 32* at 60X,
NGC6481,,ASTER,OPH,17,52.8,4,10,99.9,99.9,249,15,,,,,,,,vS;bM,
PK36+17.1,Abell43,PLNNB,OPH,17,53.6,10,37,14.6,99.9,204,15,80s,74s,,2c,,14.8,,,
UGC11074,PGC61214,GALXY,OPH,17,59.1,7,9,13.3,14.2,204,15,2.3m,1.0m,142,Sd,,,,,
NGC6509,UGC11075,GALXY,OPH,17,59.4,6,17,12.5,13,204,15,1.6m,1.2m,105,SBcd,,,,vF;pL;irrR;lbM,
Mel186,Cr359,OPNCL,OPH,18,1.1,2,54,3,99.9,249,15,240m,,,IV 3 m,,,,Naked eye 'V' shape,Bull of Poniatowski; at end of 'offramp' of Milky Way
NGC6517,GCL81,GLOCL,OPH,18,1.8,-8,58,10.3,99.9,294,15,1m,,,IV,,16,H,pB;pL;R;rr,H II 199
UGC11093,PGC61300,GALXY,OPH,18,1.9,6,58,13.7,13.4,204,15,3.1m,0.5m,4,Scd,,,,,
NGC6525,,OPNCL,OPH,18,2.1,11,2,99.9,99.9,204,15,10m,,,,,,,Cl;P;st L,
NGC6570,UGC11137,GALXY,OPH,18,11.1,14,6,12.7,13.3,204,15,1.9m,1.1m,30,SBm,,,,pF;pL;R,
UGC11141,PGC61534,GALXY,OPH,18,11.8,12,5,13.2,14.4,204,15,2.8m,2.8m,111,Sdm,,,,,
NGC6572,PK34+11.1,PLNNB,OPH,18,12.1,6,51,8,4.3,204,15,15s,12s,,2a,,12,B,vB;vS;R;l hazy,
PK38+12.1,Cannon3-1,PLNNB,OPH,18,17.6,10,9,12.4,7.9,204,15,7s,5.5s,,2,,12.5,,13''-vF; S; R; nBM; low surface brightness at 100X,Doubtful PLNNB
NGC6615,UGC11196,GALXY,OPH,18,18.6,13,16,13.1,12.7,204,15,0.9m,0.9m,,SBO-a,,,,vF;vS,
NGC6633,OCL90,OPNCL,OPH,18,27.3,6,31,4.6,99.9,205,15,27m,,,III 2 m,30,7.6,B H,Cl;lC;st L,H VIII 72
NGC1661,UGC3166,GALXY,ORI,4,47.1,-2,3,13.2,13.3,224,11,1.4m,0.9m,35,Sbc,,,,vF;vS;bM,
NGC1662,OCL470,OPNCL,ORI,4,48.4,10,57,6.4,99.9,179,11,20m,,,I 2 p,35,8.3,,Cl OF L&S sc st,H VII 1
NGC1663,OCL461,OPNCL,ORI,4,49.6,13,9,99.9,99.9,179,11,,,,IV 2 p,30,,,Cl;lRi;st L&S,H VIII 7
NGC1670,MCG0-13-16,GALXY,ORI,4,49.7,-2,46,12.7,13.4,224,11,2.1m,1m,112,SO,,,,vF;vS,H III 501
NGC1671,,NONEX,ORI,4,50.3,0,46,99.9,99.9,224,11,,,,,,,,pF;pS;R,
NGC1678,MCG0-13-19,GALXY,ORI,4,51.6,-2,37,13.2,12.8,224,11,1.1m,0.8m,70,SO,,,,vF;S,H III 502
NGC1682,MCG-1-13-28,GALXY,ORI,4,52.3,-3,6,14,99.9,224,11,0.8m,0.8m,,E-SO,,,,vF;vS;1684f 12'';*9 s 4'.5,H II 527
NGC1683,NPM1G-03218,GALXY,ORI,4,52.3,-3,1,16,99.9,224,11,1m,0.4m,165,Sa,,,,vF;R,
NGC1684,MCG-1-13-31,GALXY,ORI,4,52.5,-3,6,13,99.9,224,11,2.9m,1.9m,85,Elliptical,,,,pF;pS;R;bM;*9 225,H II 528
NGC1685,MCG-1-13-32,GALXY,ORI,4,52.6,-2,57,14.5,99.9,224,11,1.3m,0.9m,135,SBO-a,,,,F,
NGC1690,UGC3198,GALXY,ORI,4,54.3,1,38,15,99.9,224,11,1.1m,0.4m,116,Elliptical,,,,vF;vS;am vS st;L* sp,P w UGC 3199;brtst in group
NGC1691,UGC3201,GALXY,ORI,4,54.6,3,16,12,12.9,224,11,1.7m,1.6m,85,SBO-a Ring,,,,F;S;*11 inv,
NGC1707,IC2107,ASTER,ORI,4,58.3,8,14,99.9,99.9,179,11,,,,,,,,S;R;rrr,
NGC1709,MCG0-13-54,GALXY,ORI,4,58.7,0,29,14.2,13.5,224,11,0.9m,0.7m,40,SO,,,,vF;vS;1713 np,
NGC1713,UGC3222,GALXY,ORI,4,58.9,0,29,12.7,13.3,224,11,1.4m,1.2m,45,Elliptical,,,,F;S;R;bM,H II 516
NGC1717,,1STAR,ORI,4,59.5,0,14,99.9,99.9,224,11,,,,,,,,np 1719;(F*),
NGC1719,UGC3226,GALXY,ORI,4,59.6,0,16,13.6,12.3,224,11,1.1m,0.3m,102,Sa,,,,pF;S;iR;pslbM,
NGC1729,MCG-1-13-43,GALXY,ORI,5,0.3,-3,21,13,99.9,224,11,1.7m,1.4m,30,Sc,,,,vF;pL;2b*vnr,H III 503
NGC1740,MCG-1-13-46,GALXY,ORI,5,1.9,-3,18,15,99.9,224,11,1.5m,1.2m,55,E-SO,,,,eF;vS;*12 sp,
NGC1742,,1STAR,ORI,5,2,-3,17,99.9,99.9,224,11,,,,,,,,vF;vS;3.6''f 1740,
NGC1753,MCG-1-13-48,GALXY,ORI,5,2.5,-3,21,15.5,99.9,224,11,1.4m,0.6m,165,Sa,,,,eeF;pS;R;sf 1740,
NGC1762,UGC3238,GALXY,ORI,5,3.6,1,34,12.6,13.1,224,11,1.7m,1.1m,175,Sc,,,,vF;vS,H III 453
PK190-17.1,J320,PLNNB,ORI,5,5.6,10,42,12.9,6.9,180,11,26.0s,14.0s,,2(4),,14.4,,vF;S;R,
LDN1616,,DRKNB,ORI,5,6.5,-3,26,79.9,79.9,225,11,10m,8m,,5 Ir,,,,,Near bright nebula NGC 1788
NGC1788,LBN916,BRTNB,ORI,5,6.9,-3,20,99.9,99.9,225,11,5m,3m,,R,,,B H,B;cL;R;bM;***; * 10 inv in the neby,H V 32; possible reflection nebula
