object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC5942,MCG1-40-1,GALXY,SER,15,31.6,7,19,14.8,99.9,199,15,0.4m,0.4m,,E-SO,,,,eeF;S;R;3rd of 4,
NGC5941,MCG1-40-3,GALXY,SER,15,31.7,7,20,14.3,99.9,199,15,0.4m,0.3m,70,SO,,,,eeF;S;R;2nd of 4,
NGC5944,MCG1-40-4,GALXY,SER,15,31.8,7,18,14.9,12.4,199,15,0.8m,0.2m,110,Sbc,,,,eeF;S;R;4th of 4,
NGC5948,,2STAR,SER,15,33,3,59,99.9,99.9,244,15,,,,,,,,F*in vf neby;vf * close,
NGC5951,UGC9895,GALXY,SER,15,33.7,15,0,12.7,13.7,199,15,3.6m,0.8m,5,SBc,,,,F;pS;E150,H II 654;=Ho 713a. (Ho 713b at 1'5 ia a *)
NGC5953,UGC9903,GALXY,SER,15,34.5,15,12,13.3,99.9,199,15,2m,1.6m,169,Sa,,,,pB;cS;p of Dneb,H II 178;P w NGC 5954 at 8';distorted contact pair
NGC5954,UGC9904,GALXY,SER,15,34.6,15,12,13.7,99.9,199,15,1.1m,0.5m,5,SBc/P,,,,pB;cS;f of Dneb,H II 179;P w NGC 5953;F extenson from comp
NGC5952,IC1126,GALXY,SER,15,34.9,4,58,15.5,99.9,244,15,0.4m,0.3m,120,Compact,,,,eF;vS;alm stell,
NGC5956,UGC9908,GALXY,SER,15,35,11,45,12.3,13.2,199,15,1.6m,1.6m,,Sc,,,,F;S;R;*16 close f,
UGC9912,PGC55506,GALXY,SER,15,35.1,16,33,13.5,14.5,199,15,1.7m,1.6m,41,SBdm,,,,,
NGC5955,MCG1-40-6,GALXY,SER,15,35.2,5,4,15,99.9,244,15,0.9m,0.6m,10,SBb,,,,eF;vS;stellar,
NGC5957,UGC9915,GALXY,SER,15,35.4,12,3,11.7,13.7,199,15,3.1m,3m,,SBb,,,,pB;pL;com;lbM,Weak
NGC5960,MCG1-40-7,GALXY,SER,15,36.3,5,40,15.1,99.9,199,15,0.7m,0.6m,,Sbc,,,,vF;S;neb *,
NGC5962,UGC9926,GALXY,SER,15,36.5,16,36,11.3,13.2,199,15,3m,2.2m,110,Sc,,,,pF;pL;ilE;gbM,H II 96;svBN w B arcs;knotty B;many filam
NGC5964,IC4551,GALXY,SER,15,37.6,5,58,12,14.7,199,15,4.1m,3.3m,145,SBcd,,,,eF;vL;R;vgbM;r,narrow bar w low surf brightness arms
UGC9941,PGC55660,GALXY,SER,15,38.4,12,57,13.8,14.6,199,15,1.3m,1.2m,,Ir+,,,,,
NGC5970,UGC9943,GALXY,SER,15,38.5,12,11,11.5,13.3,199,15,3m,2m,88,SBc,,,,pF;pL;R;rr,H II 76;vsBN in vB bar
NGC5972,UGC9946,GALXY,SER,15,38.9,17,2,13.6,13.1,154,15,1m,0.7m,5,Sa,,,,F;pS;irrR,
NGC5975,UGC9963,GALXY,SER,15,40,21,28,14.1,12.5,154,7,1m,0.3m,171,Sbc,,,,vF;vS;irrR;sev vf * inv,sp of 2
NGC5977,UGC9967,GALXY,SER,15,40.6,17,8,13.4,13.6,154,15,1.2m,1m,155,SBO,,,,eF;S;R;lbM,comp 4 ' PA 82 0.6X0.35 early spir
NGC5980,UGC9974,GALXY,SER,15,41.5,15,47,12.6,12.7,199,15,1.9m,0.7m,13,Sc,,,,F;pS;E0,H II 655;P w IC 1133
UGC9977,PGC55821,GALXY,SER,15,42,0,42,13.2,13.7,244,15,3.9m,0.5m,77,Sc,,,,,
NGC5983,UGC9983,GALXY,SER,15,42.8,8,14,13.4,13.4,199,15,1m,1m,,Elliptical,,,,eF;eS;R;vlbM,
NGC5984,UGC9987,GALXY,SER,15,42.9,14,14,12.5,13.2,199,15,2.9m,0.7m,144,SBcd,,,,pB;S;E135;bM,H II 656;P w UGC 9991;bright narrow bar
NGC5988,UGC9998,GALXY,SER,15,44.6,10,18,13.8,13.9,200,15,1.2m,1m,115,SBc Ring,,,,eeF;pS;R;F* nr Nuc,
NGC5991,MCG4-37-28,GALXY,SER,15,45.3,24,38,14.7,99.9,155,7,0.8m,0.6m,120,S,,,,pF;S;R;mbM,
UGC10020,PGC55973,GALXY,SER,15,45.8,20,35,13.5,14.4,155,7,2.3m,2.2m,,Sd,,,,,Faint * near nucleus
NGC5990,UGC10024,GALXY,SER,15,46.3,2,25,12.4,12.6,245,15,1.6m,0.9m,115,Sa,,,,vF;vS;R;gbM,H II 425;v late spir;m = 15.7
NGC5994,UGC10033;Arp72,GALXY,SER,15,46.9,17,52,13.2,99.9,155,15,0.4m,0.2m,93,SBbc,,,,S;sp 5996,Spiral distorted;P w NGC 5996
NGC5996,UGC10033,GALXY,SER,15,47,17,53,12.8,13.1,155,15,1.7m,0.9m,20,Sc,,,,pF;cS;R;r;bet 2D*,H II 97
NGC5997,ZwG50.105,GALXY,SER,15,47.5,8,19,15.5,99.9,200,15,0.5m,0.4m,90,Compact,,,,eF;eeS;stell,
UGC10041,PGC56111,GALXY,SER,15,49,5,11,13,14.6,245,15,3.0m,1.8m,165,S(B)dm,,,,,
NGC6003,UGC10048,GALXY,SER,15,49.4,19,2,13.4,13,155,15,0.9m,0.9m,,SO,,,,F;vS;S* inv,
NGC6004,UGC10056,GALXY,SER,15,50.4,18,56,12.3,13.4,155,15,1.8m,1.7m,105,SBc,,,,vF;pL;lE;lbM,sev F gals near
NGC6008,NGC6008A,GALXY,SER,15,52.9,21,6,13,13.6,155,7,1.4m,1.4m,,SBb,,,,vF;R;pL;bM,Disturbed ?;np of 2
NGC6008A,NGC6008,GALXY,SER,15,52.9,21,6,14,99.9,155,7,1.4m,1.4m,,SBb,,,,vF;R;pL;bM,np of 2
NGC6006,Mrk862,GALXY,SER,15,53,12,0,15.5,99.9,200,15,0.6m,0.4m,0,Elliptical,,,,vF;S,
NGC6008B,MCG4-37-54,GALXY,SER,15,53.1,21,5,15,99.9,155,7,0.4m,0.3m,165,SO,,,,,
NGC6007,UGC10079,GALXY,SER,15,53.4,11,58,13.2,13.8,200,15,1.7m,1.2m,65,Sc Ring,,,,F;pL,P w NGC 6006 at 6'
NGC6009,ZwG78.96,GALXY,SER,15,53.4,12,3,15.5,99.9,200,15,0.5m,0.2m,175,S,,,,F;vS;stell,
NGC6012,UGC10083,GALXY,SER,15,54.2,14,36,12,13.1,200,15,2.1m,1.5m,168,SBab,,,,F;bet 2B st,H II 657
NGC6010,UGC10081,GALXY,SER,15,54.3,0,33,12.6,12.4,245,15,2m,0.5m,105,Sa,,,,pF;S;E90;gbM;r,H II 583
UGC10086,Mrk1496,GALXY,SER,15,54.6,16,36,14.3,12,200,15,0.7m,0.2m,,Pec,,,,,North foll of 2;may be interacting
NGC6014,IC4586,GALXY,SER,15,56,5,56,12.2,13.2,200,15,1.7m,1.6m,,SO,,,,pB;pL;E,
NGC6020,IC1148,GALXY,SER,15,57.1,22,24,12.7,13.1,155,7,1.4m,1m,140,E3,,,,eF;eS;iR;lbM,
NGC6017,UGC10098,GALXY,SER,15,57.3,6,0,13.1,12.3,200,15,0.8m,0.7m,140,S,,,,vF;vS;R;disc g;smbM,
NGC6018,UGC10101,GALXY,SER,15,57.5,15,52,13.4,13.3,200,15,1.4m,0.7m,75,Sa,,,,vF;S;lE;p of 2,H III 646;P w NGC 6021;UGC 10101
NGC6021,UGC10102,GALXY,SER,15,57.5,15,57,13.1,13.1,200,15,1.4m,0.8m,160,E5,,,,eF;vS;lE;f of 2,H III 73;P w NGC 6018
NGC6022,MCG3-41-9,GALXY,SER,15,57.8,16,17,14.7,13.5,200,15,0.7m,0.5m,80,SBbc Ring,,,,eF;eS,
NGC6023,UGC10106,GALXY,SER,15,57.8,16,19,13.1,13.4,200,15,1.4m,1m,70,E3,,,,F;S;R;bM,Brightest in group
NGC6027,UGC10116,GALXY,SER,15,59.2,20,46,14.3,11.7,155,7,1.9m,1m,,Sp,,,,eF;vF*inv;2vF st nr,Seyfert's Sextet; Compact group of 6; difficult
NGC6027A,UGC10116,GALXY,SER,15,59.2,20,45,13.9,12.5,155,7,0.7m,0.5m,75,Sa,,,,eF;vF * inv;2 vf st nr,
NGC6027B,UGC10116,GALXY,SER,15,59.2,20,46,15.5,99.9,155,7,0.4m,0.3m,40,Sa,,,,sE;bM,
NGC6027C,UGC10116,GALXY,SER,15,59.2,20,45,16,99.9,155,7,0.9m,0.2m,177,Sc,,,,dif;bM,
NGC6027D,UGC10116,GALXY,SER,15,59.2,20,46,15.5,11.4,155,7,0.2m,0.2m,,S pec,,,,Stellar,
NGC6027E,UGC10116,GALXY,SER,15,59.2,20,46,13.4,12.1,155,7,0.8m,0.4m,85,SO,,,,v dif;lbM,
IC1158,UGC10133,GALXY,SER,16,1.6,1,42,12.6,14,245,15,2.5m,1.7m,137,SBc,,,,eeF;pL;iR,
NGC6029,ZwG79.23,GALXY,SER,16,2,12,34,15.5,99.9,200,15,1.2m,0.7m,5,Compact,,,,vF;vS,
NGC6033,UGC10159,GALXY,SER,16,4.5,-2,7,13.7,13.6,245,15,1.1m,1m,90,Sbc,,,,vF neb *,
NGC6036,UGC10163,GALXY,SER,16,4.5,3,52,13.4,12.3,245,15,1.1m,0.4m,146,Sa,,,,vF;vS;R;stell,P w NGC 6037 at 3' PA 183
NGC6037,MCG1-41-9,GALXY,SER,16,4.5,3,49,14,12.9,245,15,0.7m,0.7m,,Sab,,,,vF;S,
NGC6051,IC4588,GALXY,SER,16,4.9,23,56,13.1,13.2,155,8,1.3m,0.9m,165,E4,,,,F;S;R;gbMN;*10 sf,sev comps
NGC6049,,1STAR,SER,16,5.6,8,6,99.9,99.9,200,15,,,,,,,,*7 in photosphere,
NGC6063,UGC10210,GALXY,SER,16,7.2,7,59,13.1,13.3,200,15,1.7m,0.9m,159,Sc,,,,F;pL;R;vlbM,
NGC6065,MCG2-41-8,GALXY,SER,16,7.4,13,53,15,99.9,200,15,0.8m,0.8m,,SO,,,,eeF;vS;R;sp of 2,
NGC6066,ZwG79.54,GALXY,SER,16,7.6,13,57,15,99.9,200,15,0.8m,0.8m,,S,,,,eeF;vS;R;2 pB* nr;nf of 2,
NGC6070,UGC10230,GALXY,SER,16,10,0,43,11.8,13.7,245,15,3.6m,1.8m,62,Sc,,,,F;L;pmE;vgbM;r,H III 553;vF backround of 6 galaxys
NGC6070A,ZwG23.18,GALXY,SER,16,10.2,0,46,15.5,99.9,245,15,0.6m,0.4m,90,S,,,,,
NGC6070B,,GALXY,SER,16,10.2,0,47,15.5,99.9,245,15,0.4m,0.4m,,Compact,,,,,
NGC6080,UGC10268,GALXY,SER,16,13,2,11,14,99.9,245,15,1.2m,1m,90,Sab,,,,pB;pS;R;mbM;w *12.5 20 nf(nebs ?),
UGC10288,PGC57582,GALXY,SER,16,14.4,0,13,14.2,15.3,245,15,5.3m,0.8m,91,Sc,,,,,
UGC10290,PGC57590,GALXY,SER,16,14.5,0,49,13.3,14.4,245,15,1.8m,1.7m,,Sm,,,,,
NGC6100,UGC10307,GALXY,SER,16,16.9,0,50,13,13.7,246,15,1.8m,1.1m,120,Sa,,,,eeF;vS;eeF* close p,
PK13+32.1,Shane1,PLNNB,SER,16,21.1,0,17,12.8,99.9,246,15,6.0s,,,,,14.7,,,Stellar
NGC6118,UGC10350,GALXY,SER,16,21.8,-2,17,11.7,13.9,246,15,4.7m,1.9m,58,Sc,,,H,vF;cL;cE45;r,H II 402;Low surface brightness
PK9+10.1,Abell41,PLNNB,SER,17,29,-15,13,17.2,13,293,15,18.0s,,,3(2),,16.5,,13''-eF; pS; lE 1.5X1 in PA 15; averted vision only,cent* variable MT Ser
PK14+6.1,K2-5,PLNNB,SER,17,54.4,-12,49,17.6,99.9,294,15,25.0s,,,3,,21.7,,,
Ru135,,OPNCL,SER,17,58,-11,39,99.9,99.9,294,15,11m,,,I 1 p,20,,,,
PK13+4.1,M1-33,PLNNB,SER,17,59,-15,32,13.7,99.9,294,15,5s,4.8s,,2,,18.6,,,
NGC6535,GCL83,GLOCL,SER,18,3.8,0,18,9.3,99.9,249,15,1.3m,,,XI,,12.8,,pF;vS;vS neb *p,
NGC6539,GCL85,GLOCL,SER,18,4.8,-7,35,8.9,99.9,294,15,2.5m,,,X,,15.9,,vS;F,In heavily obscured area
Sh2-46,Gum80;RCW158,BRTNB,SER,18,6.1,-14,11,99.9,99.9,294,15,30m,20m,,E,,,,,
PK15+3.1,He2-351,PLNNB,SER,18,7.5,-13,29,18.3,99.9,294,15,5s,,,1,,,,,
IC1276,Pal7,GLOCL,SER,18,10.8,-7,13,10.3,99.9,294,15,7.1m,,,XII,,15.7,,eeF;vL;v difficult;D* close p,
PK19+3.1,M3-25,PLNNB,SER,18,15.3,-10,10,15.1,9.2,294,15,4.3s,3.5s,,,,,,,
Tr32,Harvard19,OPNCL,SER,18,17.2,-13,21,12.2,99.9,294,15,4m,,,I 2m :b,50,11.8,,13''-pB; pS; nRi; lC; 21* and fuzzy background,
NGC6604,OCL56,OPNCL,SER,18,18.1,-12,14,6.5,99.9,294,15,2m,,,I 3 p n,30,7.5,,Cl;lRi;lC,H VIII 15;In Ser OB2?
NGC6605,OCL47,OPNCL,SER,18,18.4,-14,57,6,99.9,294,15,,,,,,,,Cl;lRi;lC;st10...12,H VIII 47;No cluster
NGC6611,M16,CL+NB,SER,18,18.8,-13,47,6,12,294,15,7m,,,II 3 m n:a,60,11,M,L;B;scattered Cl;neb invl,In Ser OB1;Star Queen or Eagle Nebula;stars mags 8...
PK24+3.1,M2-40,PLNNB,SER,18,21.4,-6,2,16.1,10.8,294,15,5.6s,4.5s,,2,,,,,
PK31+5.1,K3-3,PLNNB,SER,18,27.1,1,15,14.6,99.9,250,15,1.0s,,,3,,,,,
vdB123,LBN96,BRTNB,SER,18,30.4,1,14,99.9,99.9,250,16,10m,5m,,R,,,,,
PK32+5.1,K3-4,PLNNB,SER,18,31,2,25,15.7,12.2,250,16,20.0s,,,3b(2),,,,,
Sh2-64,LBN90,BRTNB,SER,18,31.6,-2,5,99.9,99.9,250,16,20m,8m,,E,,,,,
PK34+6.1,K3-5,PLNNB,SER,18,31.8,4,5,17.1,99.9,250,16,9.1s,,,2,,,,,
LDN564,,DRKNB,SER,18,37.6,-1,12,79.9,79.9,250,16,45m,15m,,5 Ir,,,,,Not listed in U2000 second edition
PK28+1.1,M2-44,PLNNB,SER,18,37.6,-3,6,15,99.9,250,16,8s,7s,,4,,,,,
LDN557,,DRKNB,SER,18,38.6,-1,47,79.9,79.9,250,16,60m,10m,,6 Ir,,,,,Irregular shape; N of Scutum star clound
IC4756,Cr386,OPNCL,SER,18,39,5,27,4.6,99.9,250,16,39m,,,III 2 m,80,8.7,,vvL;scattered group of 80 * mags 7....,Naked eye from dark site
Do33,,OPNCL,SER,18,40.7,-4,23,99.9,99.9,250,16,6m,,,III 2m :b,30,,,,
Czernik38,,OPNCL,SER,18,49.7,4,58,99.9,99.9,250,16,14m,,,II 3 r,80,,,,
Archinal1,,OPNCL,SER,18,54.7,5,33,99.9,99.9,250,16,1.5m,,,II 2 p,24,13.4,,,Includes 4 GSC stars; near IC 4756
PK38+2.1,YM16,PLNNB,SER,18,54.8,6,2,14.2,99.9,205,16,5.1m,,,3b,,,,,
NGC2969,MCG-1-25-21,GALXY,SEX,9,41.9,-8,36,13,99.9,278,13,1.4m,1.2m,40,Sc,,,,vF;pS;iR;vglbM,H III 527
NGC2967,UGC5180,GALXY,SEX,9,42.1,0,20,11.6,13.8,233,13,2.8m,2.8m,,Sc,,,,pF;pL;R;vglbM,H II 275;B center part;2 main part. res.;massive arms w some branches
NGC2966,UGC5181,GALXY,SEX,9,42.2,4,40,12.6,13.1,233,13,2.2m,0.9m,72,SBbc,,,,vF* in vF;lE neb;F* p 30'',2 v broad ill defined arms;3 or 4 stellar obj superimp
NGC2652,MCG+00-25-008,GALXY,SEX,9,42.5,-3,42,11.9,99.9,231,12,3.4m,2.1m,40,E 4,,,,F;pS;E 50 deg;gbM;stel N;* 9 sp 50'',
NGC2974,MCG0-25-8,GALXY,SEX,9,42.6,-3,42,10.9,13,233,13,3.4m,2.1m,42,Sa,,,H,B;cS;iR;bM;*9 sp 43'',H I 61;bright nucleus;10m * @ 0.7'
NGC2979,NGC3050,GALXY,SEX,9,43.1,-10,23,14,99.9,278,13,1.5m,1m,15,Sa,,,,pF;pS;vlE;psbM,H III 521
NGC3050,NGC2979,GALXY,SEX,9,43.1,-10,23,13.6,99.9,278,13,1.5m,1m,15,Sa,,,,vF;pS;vlE;gbMN,
NGC2980,MCG-1-25-28,GALXY,SEX,9,43.2,-9,37,13,13.2,278,13,1.6m,0.8m,160,SBbc,,,,vF;pS;lE 0 deg;vglbM,H III 528
NGC2978,MCG-1-25-29,GALXY,SEX,9,43.3,-9,45,13.5,99.9,278,13,1.1m,0.9m,85,Sbc,,,,eF;S;R;2980 n 10',
NGC2987,UGC5220,GALXY,SEX,9,45.7,4,56,12.9,12.9,233,13,1.5m,0.7m,160,Sab,,,,eF;S;iF;sev vF * inv,
NGC2990,UGC5229,GALXY,SEX,9,46.3,5,43,12.7,12.4,188,13,1.1m,0.6m,85,Sc,,,,F;pS;lE 90 deg,H II 624;bright nucleus;2 main arms;poor resolution
UGC5238,PGC28087,GALXY,SEX,9,46.9,0,30,13.7,14.2,233,13,2.5m,0.9m,55,S(B)d,,,,,
NGC3007,MCG-1-25-38,GALXY,SEX,9,47.8,-6,26,15,99.9,278,13,1.3m,0.5m,90,Sa,,,,eF;S;iR;lbM;r,
UGC5249,PGC28148,GALXY,SEX,9,47.8,2,37,13.2,13.7,233,13,2.4m,0.8m,15,SBc,,,,,
NGC3029,MCG-1-25-47,GALXY,SEX,9,48.9,-8,3,14,14.2,278,13,1.5m,1m,130,Sc,,,,pF;pS;R,
NGC3014,MCG-1-25-43,GALXY,SEX,9,49.1,-4,45,14,99.9,233,13,1m,1m,,Sbc,,,,eF;pL;p of 2,
NGC3017,MCG0-25-19,GALXY,SEX,9,49.1,-2,49,13.1,13,233,13,1m,0.9m,,Elliptical,,,,eF;vS;*11 np 3',
NGC3015,UGC5261,GALXY,SEX,9,49.4,1,9,13.9,12,233,13,0.5m,0.4m,95,SO,,,,F;vS;alm stellar,brightest of 3
NGC3018,UGC5265,GALXY,SEX,9,49.7,0,37,13.3,12.9,233,13,1.2m,0.7m,27,Sb,,,,vF;vS;bM,distorted;bridge?
NGC3022,MCG-1-25-46,GALXY,SEX,9,49.7,-5,10,14,99.9,233,13,1.6m,1.6m,,SO,,,,F;R;vglbM;f of 2,
NGC3023,UGC5269,GALXY,SEX,9,49.9,0,37,13.5,99.9,233,13,3m,1.4m,70,SBc/P,,,,pF;pL;iR;lbM;dif,distorted;bridge?
NGC3035,MCG-1-25-52,GALXY,SEX,9,51.9,-6,49,13.5,99.9,278,13,1.7m,1.4m,160,SBbc Ring,,,,pF;pL;R;sev vf st inv,
NGC3039,UGC5297,GALXY,SEX,9,52.5,2,9,13.4,13,234,13,1.2m,0.6m,12,SBbc,,,,vF;S;iR,comp 2 ';PA323;0.3'X 0.15'
NGC3042,UGC5307,GALXY,SEX,9,53.3,0,42,12.9,12.6,234,13,1.2m,0.7m,111,SO,,,,pB;S;vlE;gbM,comp 1.4';PA2;0.3'X0.2'
NGC3044,UGC5311,GALXY,SEX,9,53.7,1,35,11.9,13.1,234,13,4.7m,0.7m,13,SBc,,,,vF;vL;vmE 122,H III 254;Nearly edge-on
NGC3047,UGC5323,GALXY,SEX,9,54.5,-1,18,14.2,99.9,234,13,0.4m,0.4m,,Compact,,,,vF;S;R,double system w NGC 3047A
NGC3047A,UGC5323,GALXY,SEX,9,54.5,-1,17,14.2,99.9,234,13,0.4m,0.3m,30,S,,,,vF;S;R,double system
NGC3055,UGC5328,GALXY,SEX,9,55.3,4,16,12.1,13,234,13,2.1m,1.3m,63,SBc,,,,F;pL;vlE;vgbM;rr;*7 f 92,H VI 4;vsvBN in sh narrow bar;2 main knotty arms w m branch
NGC3064,MCG-1-26-1,GALXY,SEX,9,55.7,-6,22,14.5,99.9,279,13,1.2m,0.3m,35,Sbc,,,,eF;vS;E 45,
NGC3062,ZwG8.2,GALXY,SEX,9,56.6,1,26,14.7,12.5,234,13,0.6m,0.3m,65,Sb,,,,vF;vS;alm stellar,
NGC3083,MCG0-26-2,GALXY,SEX,9,59.8,-2,53,13.7,12.4,234,13,1.1m,0.4m,50,Sa,,,,eF;S;E,
UGC5373,SextansBdwarf,GALXY,SEX,10,0,5,20,11.3,14.3,234,13,5.1m,3.5m,110,Ir+,,,,13''-F;pL;E 2X1;nmBM at 100X,dwarf irregular
NGC3086,MCG0-26-3,GALXY,SEX,10,0.2,-2,59,13.9,12.8,234,13,1.2m,0.4m,145,Sb,,,,eF;S;iR,
NGC3090,MCG0-26-5,GALXY,SEX,10,0.5,-2,58,12.6,13.5,234,13,1.7m,1.4m,90,Elliptical,,,,vF;vS,
NGC3092,MCG0-26-8,GALXY,SEX,10,0.8,-3,1,13.3,12.9,234,13,1.3m,0.6m,30,Sa,,,,eF;S,
NGC3093,MCG0-26-7,GALXY,SEX,10,0.9,-2,58,14.2,12.6,234,13,0.7m,0.3m,50,Elliptical,,,,eF;vS,
NGC3101,MCG0-26-11,GALXY,SEX,10,1.6,-3,0,14.4,13.1,234,13,1.2m,0.3m,150,Sa,,,,eF,
NGC3110,NGC3122,GALXY,SEX,10,4,-6,29,13.5,99.9,279,13,1.6m,0.8m,175,Sb,,,,F;vS;iR;r,
NGC3122,NGC3110,GALXY,SEX,10,4,-6,29,13.5,99.9,279,13,1.6m,0.8m,175,Sb,,,,F;S;lE;er,H II 305
NGC3115,MCG-1-26-18,GALXY,SEX,10,5.2,-7,43,8.9,11.9,279,13,7.3m,3.4m,43,E6,,,BCH,vB;L;vmE 46;vgsmbMEN,H I 163;Spindle Galaxy
Pal3,,GLOCL,SEX,10,5.5,0,4,13.9,99.9,234,13,1.6m,,,XII,,18,,13''-eF;pS;nBM at 100X; low surface brghtness,
NGC3117,UGC5445,GALXY,SEX,10,6.2,2,55,13.3,13,234,13,0.9m,0.9m,,Elliptical,,,,vF;vS;R;S* inv,
NGC3123,,NONEX,SEX,10,7,0,4,99.9,99.9,234,13,,,,,,,,neb;no description,
NGC3142,MCG-1-26-28,GALXY,SEX,10,10.1,-8,29,14,99.9,279,13,1m,0.9m,,SO,,,,F;R,
UGCA205,SextansA,GALXY,SEX,10,11,-4,43,11.5,15,234,13,5.9m,4.9m,,Ir,,,,,MCG -01-26-030
NGC3156,UGC5503,GALXY,SEX,10,12.7,3,8,12.3,13,234,13,1.9m,1.2m,47,SO,,,,F;cS;R;psbM;*9-10 sf 2',H III 255;NGC 3166 group
NGC3165,UGC5512,GALXY,SEX,10,13.5,3,22,13.9,14,234,13,1.3m,0.7m,177,Sdm,,,,vF;mE 0;1st of 3,Irr;NGC 3166 group;NGC 3166 at 4.6' PA50
NGC3166,UGC5516,GALXY,SEX,10,13.8,3,26,10.4,12.9,234,13,4.8m,1.9m,87,SBO-a,,,H,B;pS;R;psmbM;2nd of 3,H I 3;brightest in group
NGC3169,UGC5525,GALXY,SEX,10,14.2,3,28,10.2,12.8,234,13,4.2m,2.9m,45,Sa,,,H,B;pL;vlE;pgmbM;*11;78;80'';3rd of 3,H I 4;eF corona vis to approx 8X6;P w NGC 3166
UGC5539,PGC29969,GALXY,SEX,10,15.9,2,41,14.3,99.9,234,13,1.3m,1.1m,38,Ir+,,,,,
NGC3229,,3STAR,SEX,10,23.4,0,4,99.9,99.9,234,13,,,,,,,,F,
NGC3243,UGC5652,GALXY,SEX,10,26.4,-2,37,12.6,13,235,13,1.4m,1.1m,125,SO,,,,vF;S;lE;bet 2 st,
NGC3246,UGC5661,GALXY,SEX,10,26.7,3,52,12.7,13.8,235,13,2.4m,1.4m,100,SBd,,,,eF;S;R;2 st tri;*6;300;8',
UGC5708,PGC31037,GALXY,SEX,10,31.2,4,29,13.2,13.9,235,13,3.4m,0.7m,168,S(B)d,,,,,
NGC3292,MCG-1-27-23,GALXY,SEX,10,35.6,-6,11,14.5,99.9,280,13,1.1m,0.9m,0,SO,,,,vF;vS;lE,
NGC3325,UGC5795,GALXY,SEX,10,39.3,0,12,12.7,13,235,13,1.2m,1.1m,55,Elliptical,,,,F;vS;vS* inv,brightest of 3
NGC3326,UGC5799,GALXY,SEX,10,39.5,5,6,13.7,12.4,235,13,0.6m,0.6m,,Sa,,,,vF;eS;stellar,
NGC3337,ZwG37.119,GALXY,SEX,10,41.8,4,59,15.3,99.9,235,13,0.6m,0.3m,45,S,,,,eF;vS;alm stellar,
NGC3339,NGC3340,1STAR,SEX,10,42.2,0,22,13.6,99.9,235,13,,,,,,,,eF;stellar,* 2.1 WNW of NGC 3340
NGC3340,NGC3339,GALXY,SEX,10,42.3,0,23,13,12.7,235,13,1m,0.9m,145,Sbc,,,,F;S;R,
NGC3341,UGC5831,GALXY,SEX,10,42.5,5,3,14.9,99.9,235,13,1.2m,0.4m,24,Pec,,,,vF;vS,
NGC3360,MCG-2-28-3,GALXY,SEX,10,44.3,-11,15,13.7,13.6,280,13,1.2m,0.9m,55,Sc,,,,vF;R;P w NGC 3361,
NGC3361,MCG-2-28-4,GALXY,SEX,10,44.5,-11,13,12.8,13.6,280,13,2.1m,1.2m,155,SBc,,,,mE 160;brighter than NGC 3360,
NGC3365,UGC5878,GALXY,SEX,10,46.2,1,49,12.6,13.8,235,13,4.5m,0.8m,159,Sc,,,,eF;L;eE 159;vgvlbM,
NGC3375,MCG-2-28-8,GALXY,SEX,10,47,-9,57,12.6,13.1,280,13,1.6m,1.2m,45,SO,,,,F;S;R;gmbM,
NGC3376,UGC5891,GALXY,SEX,10,47.4,6,3,13.8,12.4,190,13,0.8m,0.4m,167,S pec,,,,vF;S,
NGC3385,UGC5908,GALXY,SEX,10,48.2,4,56,12.6,12.8,235,13,1.5m,0.9m,97,SO,,,,vF;S;R;s of 2,P w NGC 3386 at 4.3';PA0;0.8'X0.7'
NGC3386,MCG1-28-10,GALXY,SEX,10,48.2,5,0,14.8,99.9,235,13,0.4m,0.4m,,S,,,,vF;S;lE;bM;n of 2,double neb
NGC3387,,GALXY,SEX,10,48.3,4,58,14.8,99.9,235,13,0.2m,0.2m,80,Compact,,,,eF;eS,double neb
NGC3401,,NONEX,SEX,10,50.3,5,49,99.9,99.9,190,13,,,,,,,,eF (not verified),H III 88
NGC3423,UGC5962,GALXY,SEX,10,51.2,5,50,11.1,13.7,190,13,3.9m,3.3m,10,Sc,,,,F;vL;R;vgbM;rr,H IV 6= II 131;fine face on spiral
PK51+6.1,K1-17,PLNNB,SGE,19,3.6,19,21,16,99.9,161,16,45s,,,4,,18.6,,,
PK50+3.1,M1-67,PLNNB,SGE,19,11.5,16,52,15.5,99.9,206,16,1.8m,,,3,,11.1,,,Doubtful PLNNB
PK51+3.1,He2-430,PLNNB,SGE,19,14,17,31,15.9,99.9,161,16,5.0s,,,,,,,,Stellar
Berk44,,OPNCL,SGE,19,17.3,19,33,99.9,99.9,161,16,2m,,,III 1m:b,30,16,,,
Pal10,,GLOCL,SGE,19,18,18,34,13.2,99.9,161,16,4.0m,,,XII,,18,,13''-vF;pS;sBM at 100X; no* reslvd at 320X,
PK53+3.1,Abell59,PLNNB,SGE,19,18.7,19,34,17.2,99.9,161,16,94s,80s,,3b,,21.1,,,
Berk47,,OPNCL,SGE,19,28.5,17,22,99.9,99.9,162,16,5m,,,II 2p :b,20,16,,,
Sh2-82,,BRTNB,SGE,19,30.3,18,16,99.9,99.9,162,16,7m,7m,,E+R,,,,13''-pF;pL;R;nBM; 2* invl at 100X; UHC helps,Large and irregularly round
