HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
823,00 10 05.20,+38 24 53.6,10.65,10.83,2.1,1.077,0.121,00101+3825,      ,          
827,00 10 06.70,-28 20 16.1,10.05,6.95,1.59,0.7,0.02,          ,      ,          
833,00 10 10.40,-19 59 00.8,9.47,6.1,1.56,0.526,0.009,          ,575,B-20    9 
845,00 10 22.70,-43 31 22.5,9.32,4.82,1.18,0.511,0.005,          ,620,          
846,00 10 22.90,-13 59 02.9,8.92,13.53,1.28,0.578,0.003,          ,603,B-14   11 
847,00 10 23.00,-11 47 09.0,8.38,10.15,1.04,0.508,0.013,          ,602,B-12   10 
854,00 10 28.40,+13 35 41.9,8.98,7.48,1.29,0.471,0.02,          ,      ,B+12    6 
856,00 10 29.60,+15 13 54.9,8.24,12.91,1.06,0.491,0.015,          ,615,B+14    8 
867,00 10 39.10,+12 49 13.0,8.47,15.57,1.17,0.574,0.015,          ,631,B+11   10 
869,00 10 40.60,+13 13 22.8,8.97,8.77,1.49,0.497,0.02,          ,      ,B+12    8 
875,00 10 45.70,-38 46 07.9,8.68,7.95,1.08,0.588,0.001,          ,657,          
879,00 10 46.70,-73 30 26.7,9.4,9.43,1,0.551,0.015,          ,677,          
883,00 10 47.40,-57 29 10.6,8.27,7.77,2.24,0.517,0.021,00108-5729,675,          
889,00 10 55.90,+48 06 37.5,8.41,16.45,0.95,0.575,0.013,          ,652,B+47   17 
894,00 10 58.10,+52 26 34.0,8.9,6.25,1.13,0.5,0.015,          ,232123,B+51   16 
895,00 11 01.40,+29 33 01.9,8.55,12.6,1.18,0.435,0.017,          ,664,B+28   11 
896,00 11 03.60,+13 45 01.8,9.15,9.37,1.25,0.477,0.021,          ,      ,B+12   10 
897,00 11 04.40,-05 47 02.4,10.86,39.19,2.29,1.418,0.018,          ,      ,B- 6   15 
898,00 11 04.40,+05 12 31.3,11.55,24.32,3.25,1.395,0.019,          ,      ,          
904,00 11 09.00,-07 22 34.3,8.9,8.36,1.21,0.473,0.029,          ,681,B- 8   13 
914,00 11 18.10,-32 48 01.5,8.6,15.08,1.1,0.7,0.015,          ,705,          
920,00 11 24.40,+23 49 05.3,8.23,18.6,0.91,0.581,0.015,          ,700,B+23   10 
924,00 11 30.80,-49 37 45.2,8.97,20.86,2.16,0.807,0.005,00115-4938,734,          
